City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
242,finschhafen,-6.6024,147.8681,302.8,70,100,0.98,PG,1669854680
243,ancud,-41.8697,-73.8203,282.16,73,6,2.25,CL,1669854681
244,severo-kurilsk,50.6789,156.125,272.04,77,100,9.78,RU,1669854682
245,tiksi,71.6872,128.8694,248.88,99,100,6.69,RU,1669854682
246,lagoa,39.05,-27.9833,289.59,76,0,2.65,PT,1669854683
247,tura,25.5198,90.2201,289.37,87,0,1.6,IN,1669854683
248,westport,41.1415,-73.3579,286.52,75,100,6.69,US,1669854684
249,dunedin,-45.8742,170.5036,287.48,67,100,0.45,NZ,1669854684
250,hofn,64.2539,-15.2082,281.71,97,100,6.59,IS,1669854685
251,chiltepec,18.4847,-96.9019,294.46,98,100,1.36,MX,1669854685
252,saint anthony,45.0205,-93.218,264.76,72,0,4.63,US,1669854686
253,constitucion,-35.3333,-72.4167,285.53,81,0,5.7,CL,1669854686
254,guerrero negro,27.9769,-114.0611,288.95,72,19,5.47,MX,1669854687
255,ormara,25.2088,64.6357,296.37,50,97,1.39,PK,1669854687
256,hobyo,5.3505,48.5268,299.02,80,88,4.99,SO,1669854688
257,pompeu,-19.2244,-44.9353,291.49,88,5,1.23,BR,1669854688
258,kristiinankaupunki,62.2743,21.376,272.99,90,97,3.69,FI,1669854689
259,canarana,-11.6847,-41.7689,293.98,87,85,0.36,BR,1669854689
260,maraa,-1.8333,-65.3667,296.8,95,80,1.27,BR,1669854690
261,virovitica,45.8319,17.3839,278.0,82,100,3.73,HR,1669854690
262,luderitz,-26.6481,15.1594,290.72,74,2,4.56,NA,1669854690
263,makakilo city,21.3469,-158.0858,302.01,64,100,4.63,US,1669854691
264,hays,30.0502,-98.0336,283.49,46,4,0.89,US,1669854692
265,tuatapere,-46.1333,167.6833,285.87,68,89,4.85,NZ,1669854692
266,ponta do sol,32.6667,-17.1,293.55,75,81,3.68,PT,1669854693
267,mahebourg,-20.4081,57.7,295.51,88,40,2.06,MU,1669854694
268,bubaque,11.2833,-15.8333,300.83,67,20,6.85,GW,1669854695
269,riachao,-7.3619,-46.6172,295.2,93,100,1.13,BR,1669854696
270,vila franca do campo,37.7167,-25.4333,288.81,84,47,1.96,PT,1669854437
271,melo,-32.3667,-54.1833,294.92,81,56,6.52,UY,1669854697
272,dongzhen,22.3797,110.9389,286.41,74,100,3.23,CN,1669854697
273,chiredzi,-21.05,31.6667,290.16,64,0,1.12,ZW,1669854698
274,matina,10.0761,-83.2895,296.08,97,100,1.94,CR,1669854698
275,manta,-0.95,-80.7333,296.03,78,75,5.14,EC,1669854699
276,dannenberg,53.0967,11.09,274.34,88,99,2.2,DE,1669854700
277,dover,39.1582,-75.5244,285.27,55,100,7.72,US,1669854626
278,katima mulilo,-17.5,24.2667,293.71,61,5,1.56,NA,1669854700
279,arkhara,49.4212,130.0842,245.23,93,9,1.77,RU,1669854701
280,adrar,20.5022,-10.0711,291.55,19,9,4.13,MR,1669854702
281,nanortalik,60.1432,-45.2371,270.61,77,77,14.7,GL,1669854703
282,kamaishi,39.2667,141.8833,277.65,49,100,1.66,JP,1669854704
283,souillac,-20.5167,57.5167,294.36,88,40,2.06,MU,1669854704
284,nyurba,63.2842,118.3319,240.46,99,100,1.55,RU,1669854705
285,morant bay,17.8815,-76.4093,302.94,83,8,5.01,JM,1669854706
286,rawson,-43.3002,-65.1023,288.58,58,0,9.1,AR,1669854707
287,polyanka,50.2584,27.6881,263.92,93,72,1.81,UA,1669854707
288,marquard,-28.6645,27.4305,290.45,52,100,1.48,ZA,1669854708
289,san patricio,28.017,-97.5169,289.17,56,2,4.97,US,1669854708
290,duleek,53.6567,-6.4192,283.61,89,100,3.06,IE,1669854709
291,lethem,3.3803,-59.7968,298.42,76,84,4.21,GY,1669854710
292,kaeo,-35.1,173.7833,295.55,68,83,5.3,NZ,1669854710
293,viedma,-40.8135,-62.9967,286.66,65,19,5.31,AR,1669854711
294,padang,-0.9492,100.3543,297.18,95,100,1.5,ID,1669854711
295,raga,8.4596,25.678,298.05,46,100,1.16,SS,1669854711
296,shingu,33.7333,135.9833,283.81,53,79,1.95,JP,1669854712
297,presidencia roque saenz pena,-26.7852,-60.4388,300.86,38,23,2.09,AR,1669854713
298,sur,22.5667,59.5289,295.63,58,49,0.41,OM,1669854516
299,koungou,-12.7336,45.2042,298.99,83,0,1.54,YT,1669854714
300,ola,59.5833,151.2833,268.23,83,100,8.05,RU,1669854714
301,jalu,29.0331,21.5482,286.21,42,0,1.78,LY,1669854715
302,flin flon,54.7682,-101.865,248.06,70,40,2.57,CA,1669854715
303,yamada,39.4667,141.95,276.47,54,100,0.32,JP,1669854716
304,maragogi,-9.0122,-35.2225,298.01,81,99,3.24,BR,1669854716
305,chernyshevskiy,63.0128,112.4714,241.06,97,96,1.9,RU,1669854717
306,bela,25.9333,81.9833,287.93,60,0,1.96,IN,1669854717
307,salina cruz,16.1667,-95.2,301.52,67,26,2.68,MX,1669854536
308,pevek,69.7008,170.3133,259.85,89,100,2.47,RU,1669854718
309,cap malheureux,-19.9842,57.6142,295.63,75,59,1.34,MU,1669854669
310,teknaf,20.8624,92.3058,297.14,81,8,2.35,BD,1669854718
311,chardara,41.2547,67.9692,274.2,64,12,1.93,KZ,1669854719
312,sisimiut,66.9395,-53.6735,264.14,82,100,12.27,GL,1669854719
313,majholi,23.5,79.9167,285.72,71,100,1.47,IN,1669854720
314,maniitsoq,65.4167,-52.9,266.64,74,97,15.1,GL,1669854721
315,prince albert,53.2001,-105.7677,252.12,65,100,5.14,CA,1669854721
316,baruun-urt,46.6806,113.2792,251.03,75,1,5.78,MN,1669854722
317,gberia fotombu,9.8833,-11.1667,294.93,80,33,2.05,SL,1669854723
318,monterey,36.2505,-121.2516,284.36,66,26,0.6,US,1669854633
319,san isidro,-12.1167,-77.05,293.92,68,0,6.69,PE,1669854724
320,gizo,-8.103,156.8419,301.58,73,100,1.62,SB,1669854725
321,klyuchi,52.2667,79.1667,251.9,86,34,3.79,RU,1669854725
322,bolitoc,15.7395,119.8769,303.14,58,24,2.24,PH,1669854726
323,kautokeino,69.0125,23.0412,268.6,97,100,1.95,NO,1669854727
